testimony_id,interviewee_year_of_birth
HVT-1014,1929
HVT-1015,1929
HVT-1016,1924
HVT-1017,1922
HVT-1018,
HVT-1019,1912
HVT-1020,1925
HVT-1021,1921
HVT-1022,1922
HVT-1023,1922
HVT-1024,1924
HVT-1025,1924
HVT-1026,1919
HVT-1027,
HVT-1028,1936
HVT-1029,1922
HVT-1030,1915
HVT-1031,
HVT-1032,1924
HVT-1033,1917
HVT-1034,1920
HVT-1035,1927
HVT-1036,1922
HVT-1037,1925
HVT-1038,1928
HVT-1039,1921
HVT-1040,1927
HVT-1041,1925
HVT-1042,1932
HVT-1043,1928
HVT-1044,1913
HVT-1045,1929
HVT-1046,1915
HVT-1047,1925
HVT-1048,1928
HVT-1049,1925
HVT-1050,1921
HVT-1051,1920
HVT-1052,1929
HVT-1053,1929
HVT-1055,
HVT-1056,1927
HVT-1057,1922
HVT-1058,1926
HVT-1059,1917
HVT-1060,1923
HVT-1061,1931
HVT-1062,1921
HVT-1063,
HVT-1064,1925
HVT-1065,1926
HVT-1066,1928
HVT-1067,1925
HVT-1068,1911
HVT-1069,1910
HVT-1070,1928
HVT-1071,
HVT-1072,1922
HVT-1073,1913
HVT-1074,1914
HVT-1075,1928
HVT-1076,
HVT-1077,
HVT-1078,
HVT-1079,1925
HVT-1080,
HVT-1081,
HVT-1082,1922
HVT-1083,
HVT-1084,1935
HVT-1085,1923
HVT-1086,1922
HVT-1087,1915
HVT-1088,1924
HVT-1089,
HVT-1090,
HVT-1091,1933
HVT-1092,1930
HVT-1093,1921
HVT-1094,1924
HVT-1095,1926
HVT-1096,1923
HVT-1097,1920
HVT-1098,1917
HVT-1099,1917
HVT-1100,1920
HVT-1101,1925
HVT-1102,1909
HVT-1103,1930
HVT-1104,1932
HVT-1105,1926
HVT-1106,1914
HVT-1107,1914
HVT-1108,
HVT-1109,1929
HVT-1110,1924
HVT-1111,1921
HVT-1112,1924
HVT-1113,1934
HVT-1114,1908
HVT-1115,1915
HVT-1116,1919
HVT-1117,1925
HVT-1118,1929
HVT-1119,1926
HVT-1120,1925
HVT-1121,1922
HVT-1122,1931
HVT-1123,1925
HVT-1124,1911
HVT-1125,1914
HVT-1126,1921
HVT-1127,1923
HVT-1128,1918
HVT-1129,1910
HVT-1130,1919
HVT-1131,1917
HVT-1132,
HVT-1133,1918
HVT-1134,1933
HVT-1135,
HVT-1136,1925
HVT-1137,1922
HVT-1138,1915
HVT-1139,1925
HVT-1140,1925
HVT-1141,1928
HVT-1142,1925
HVT-1143,1913
HVT-1144,1920
HVT-1146,1925
HVT-1147,1903
HVT-1148,1911
HVT-1149,1927
HVT-1150,1931
HVT-1151,1920
HVT-1152,1911
HVT-1153,1928
HVT-1154,1928
HVT-1155,1919
HVT-1156,1925
HVT-1157,1925
HVT-1158,1933
HVT-1159,1916
HVT-1160,1922
HVT-1161,1925
HVT-1162,1923
HVT-1163,1924
HVT-1164,1917
HVT-1165,1919
HVT-1166,1932
HVT-1167,1928
HVT-1168,1925
HVT-1169,1924
HVT-1170,1931
HVT-1171,1926
HVT-1172,1915
HVT-1173,1925
HVT-1174,1925
HVT-1175,1928
HVT-1176,1925
HVT-1177,1926
HVT-1178,1922
HVT-1179,1924
HVT-1180,1928
HVT-1181,1923
HVT-1182,1924
HVT-1183,1924
HVT-1184,1931
HVT-1185,1918
HVT-1186,1925
HVT-1187,1920
HVT-1188,1924
HVT-1189,1921
HVT-1190,1915
HVT-1191,1914
HVT-1192,1919
HVT-1193,1922
HVT-1194,1917
HVT-1195,1916
HVT-1196,1914
HVT-1197,1921
HVT-1198,1912
HVT-1199,1923
HVT-1200,1922
HVT-1201,1923
HVT-1202,1904
HVT-1203,1921
HVT-1204,1920
HVT-1205,1930
HVT-1206,1913
HVT-1207,1925
HVT-1208,1915
HVT-1209,1925
HVT-1210,1905
HVT-1211,1928
HVT-1212,1931
HVT-1213,1934
HVT-1214,1922
HVT-1215,1920
HVT-1216,1929
HVT-1217,1921
HVT-1218,1912
HVT-1219,
HVT-1220,1922
HVT-1221,1928
HVT-1222,1930
HVT-1223,1920
HVT-1224,1912
HVT-1225,
HVT-1226,1926
HVT-1227,1918
HVT-1228,1912
HVT-1229,1915
HVT-1230,1918
HVT-1231,1929
HVT-1232,1918
HVT-1233,1919
HVT-1234,1923
HVT-1235,1911
HVT-1236,1916
HVT-1237,1925
HVT-1238,1905
HVT-1239,1919
HVT-1240,1929
HVT-1241,1925
HVT-1242,1918
HVT-1243,1918
HVT-1244,1930
HVT-1245,1921
HVT-1246,1922
HVT-1247,1922
HVT-1248,
HVT-1249,1937
HVT-1250,1919
HVT-1251,1922
HVT-1252,1924
HVT-1253,
HVT-1254,1924
HVT-1255,1922
HVT-1256,1937
HVT-1257,1926
HVT-1258,1922
HVT-1259,1930
HVT-1260,1927
HVT-1261,1928
HVT-1262,1922
HVT-1263,1929
HVT-1264,1929
HVT-1265,1932
HVT-1266,1924
HVT-1267,1927
HVT-1268,1926
HVT-1269,1914
HVT-1270,
HVT-1271,1936
HVT-1272,1920
HVT-1273,1937
HVT-1274,1919
HVT-1275,1918
HVT-1276,1922
HVT-1277,1917
HVT-1278,1929
HVT-1279,1928
HVT-1280,1930
HVT-1281,1924
HVT-1282,1912
HVT-1283,1922
